name,FC,log2FC,pval,p_adjust
bscR,1.063761036,0.0891741,0.090961311,0.368514752
cbiM,1.090228025,0.124629911,0.091931894,0.368514752
crpB,2.130299012,1.091055944,0.092022748,0.368514752
eutH,0.13279377,-2.912740631,0.092492545,0.368514752
ghrA_1,1.101740858,0.139784926,0.090820089,0.368514752
kguE,1.042202294,0.059635336,0.09101069,0.368514752
kguK,1.05631741,0.079043411,0.091881834,0.368514752
mexD,1.121657718,0.165632495,0.090989981,0.368514752
odhL,1.030124177,0.042818259,0.091297836,0.368514752
pgtP,1.099258694,0.136530943,0.091974691,0.368514752
pilU,1.12000657,0.163507195,0.090968628,0.368514752
rutA,1.117854462,0.16073237,0.091941486,0.368514752
rutR,1.11571911,0.157973865,0.092324177,0.368514752
sdaC,1.087799965,0.121413285,0.09164954,0.368514752
sfuB,1.05373131,0.075507042,0.092417826,0.368514752
sohB,1.055862138,0.078421477,0.092443903,0.368514752
sufA,1.02662125,0.037904028,0.091764003,0.368514752
trpS,-1.061448027,NA,0.092253458,0.368514752
uraA,-44.43101305,NA,0.091103362,0.368514752
ybhR,1.065580888,0.091640112,0.090616072,0.368514752
yccT,1.019421887,0.027751233,0.092033063,0.368514752
yclK,1.055633138,0.078108545,0.090521242,0.368514752
ygiD,1.076200523,0.105946913,0.092288654,0.368514752
yjgF,1.039363505,0.055700308,0.091291169,0.368514752
cpoA,1.067397187,0.094097114,0.092760818,0.369293067
aguB,0.085297382,-3.551354735,0.093396983,0.370181947
akr5f,1.013276511,0.019027922,0.093203242,0.370181947
csd1,1.077803008,0.108093519,0.09348238,0.370181947
fmdA,1.058060603,0.081422264,0.093495796,0.370181947
pbpA,1.04311122,0.060892991,0.093222407,0.370181947
sfnG,1.077819953,0.1081162,0.093295277,0.370181947
yqfA,1.028295121,0.040254377,0.093448327,0.370181947
PET127,1.03785287,0.053601936,0.093647793,0.370494081
sptS,1.069518622,0.096961602,0.093756822,0.370590466
torY,1.102206427,0.140394445,0.093818518,0.370590466
kdgM,1.07298875,0.10163495,0.094076585,0.370742279
nifJ,0.443184262,-1.174021445,0.093955117,0.370742279
thiL,0.563217521,-0.82823588,0.094059678,0.370742279
TOM1,1.042220165,0.059660074,0.094163788,0.370797373
ywfO,0.44018894,-1.183805197,0.094243216,0.370821792
MA20_44650,1.096248165,0.132574428,0.095052418,0.371128146
VP2476,1.075261297,0.104687288,0.095351075,0.371128146
XK27_03570,1.033950056,0.048166499,0.094573842,0.371128146
adrA,1.100105599,0.137642015,0.095139293,0.371128146
aviRb,1.292621814,0.370300243,0.094506754,0.371128146
capB,1.052221774,0.073438809,0.0954037,0.371128146
copA_1,1.025284766,0.036024664,0.094721457,0.371128146
crcB,1.193335426,0.254999617,0.095252757,0.371128146
echA8_7,1.058677819,0.082263609,0.095991856,0.371128146
glnG,1.054720363,0.07686055,0.095146709,0.371128146
glnQ3,1.035305966,0.050057193,0.094916327,0.371128146
hbd,1.086351836,0.119491424,0.096027759,0.371128146
iolG,1.015796853,0.022611909,0.096019284,0.371128146
mnhA2,1.077025893,0.107052935,0.095939947,0.371128146
nfnB,1.058237272,0.081663137,0.096021076,0.371128146
ntpI,1.111110541,0.152002353,0.095332184,0.371128146
phoR_2,1.031868558,0.045259208,0.094721316,0.371128146
rsbW,1.034875474,0.049457179,0.09567928,0.371128146
uraD,1.064482233,0.090151871,0.096079976,0.371128146
yecA,1.082386728,0.114216055,0.095893382,0.371128146
yhjQ,1.074387165,0.103513975,0.096006118,0.371128146
ynfM,1.080666235,0.111921014,0.094787432,0.371128146
yqiG,0.099694604,-3.326340768,0.094790083,0.371128146
ytfH,1.096231012,0.132551853,0.095616014,0.371128146
mleR,1.087880342,0.12151988,0.096172807,0.371203577
arsB,0.515797537,-0.955123211,0.096478154,0.371815353
asp2,1.070842174,0.098745864,0.096432936,0.371815353
yqiI,1.034425723,0.048830056,0.096579104,0.371921357
lsrK,1.123988913,0.168627805,0.096656049,0.371934825
gspL,1.106857666,0.146469714,0.096806768,0.371949525
yjeE,1.22762762,0.29587301,0.096749633,0.371949525
grdX,1.014419957,0.020655033,0.097030205,0.372525365
bglB2,1.014958146,0.021420236,0.09731674,0.37305978
ntaR,1.116443115,0.158909745,0.097259481,0.37305978
srlE,1.035103598,0.049775167,0.097515897,0.373258126
ybiS,1.124843693,0.16972454,0.097503768,0.373258126
fdoH,1.119831578,0.163281768,0.097729445,0.373510873
yutD,1.07418557,0.103243246,0.097698724,0.373510873
coxC,1.041873854,0.059180612,0.09843101,0.373593786
cusB,1.133624758,0.180943172,0.098312909,0.373593786
cytR_1,1.064818987,0.090608201,0.098496362,0.373593786
czcB,1.076162271,0.105895634,0.097995305,0.373593786
dcm_2,1.047548663,0.067017264,0.098482959,0.373593786
hicD2,1.02440641,0.034788185,0.09849871,0.373593786
leuD,1.196305859,0.25858629,0.098408938,0.373593786
metQ_1,1.021076512,0.030090975,0.098304887,0.373593786
plcN2,1.075072718,0.104434247,0.098334305,0.373593786
rpoA,0.559105691,-0.838807064,0.098562657,0.373593786
sstT,-13.83272856,NA,0.098260545,0.373593786
yjdA,1.092058588,0.127050258,0.098655633,0.37366651
apbE,1.242241497,0.312945667,0.098892096,0.373916147
ccoI,1.027104422,0.038582862,0.099066251,0.373916147
sbcC,0.018991375,-5.718511864,0.098848984,0.373916147
yecF,1.094985174,0.130911336,0.098946958,0.373916147
yiaJ,1.113576406,0.15520055,0.099090733,0.373916147
hscC,1.103972615,0.142704385,0.099184932,0.373992924
yciO,1.062740469,0.087789321,0.099571666,0.375171811
rhtB,1.082472438,0.114330291,0.099806218,0.375775976
cocE,1.086905178,0.120226085,0.100010455,0.375985852
puuE,1.070838163,0.09874046,0.099981089,0.375985852
maf,1.080656876,0.111908519,0.100093956,0.376020618
aaeB,1.035334999,0.05009765,0.100356919,0.376625088
rtn,1.054338025,0.076337475,0.100403608,0.376625088
Z012_08355,1.022323291,0.031851494,0.100678431,0.376739249
cccA,1.026399238,0.037592004,0.100731624,0.376739249
fhuG,1.074385522,0.103511769,0.100688254,0.376739249
gabD1,1.02146317,0.030637186,0.100709603,0.376739249
ACC1,1.037894678,0.053660051,0.101783755,0.377150525
clpA,1.069041659,0.096318074,0.101410512,0.377150525
cps1C,1.065095554,0.090982866,0.101137824,0.377150525
cycB,1.045881342,0.064719184,0.101789854,0.377150525
cydD1,1.030348079,0.043131801,0.101382864,0.377150525
femX,1.01870075,0.026730313,0.101254811,0.377150525
fsa,1.095507246,0.131599027,0.101356003,0.377150525
malH,1.042649579,0.060254369,0.101750312,0.377150525
mdtK,1.068536227,0.095635822,0.101733603,0.377150525
metH_2,1.025281296,0.036019782,0.100964578,0.377150525
natB,1.030009198,0.042657221,0.101811142,0.377150525
psaA3,1.030903871,0.043909811,0.101884265,0.377150525
thiH,-0.925990053,NA,0.101509781,0.377150525
viuB_2,1.02834769,0.04032813,0.101884218,0.377150525
atoE,1.051715984,0.072745158,0.10239561,0.377190661
dsbE,-0.199129686,NA,0.102063074,0.377190661
lmrA1,1.046604396,0.065716224,0.102272354,0.377190661
mmpI,1.092814857,0.128049003,0.102294361,0.377190661
potG,1.070520237,0.098312068,0.102326616,0.377190661
ureI,1.052190972,0.073396577,0.10239936,0.377190661
yvdD_2,1.068642538,0.095779351,0.102416501,0.377190661
Z012_04045,1.032281057,0.045835823,0.102778234,0.377572213
fahA,1.6381234,0.712044039,0.102717112,0.377572213
vsr,1.061144651,0.085621331,0.102818342,0.377572213
ybiH,1.065784509,0.091915769,0.10274169,0.377572213
ndk,2.770878923,1.470343672,0.103188024,0.378499059
thrA,1.803524634,0.850819129,0.103220221,0.378499059
MA20_06185,1.077854067,0.108161862,0.103436178,0.378865463
cpdA,1.067487098,0.094218633,0.103469774,0.378865463
SUB2,1.051531637,0.072492257,0.103588419,0.379025832
ALD5,1.081545119,0.113093851,0.103960352,0.379837822
oprC,1.07075589,0.098629613,0.103885516,0.379837822
ribH2,1.084080922,0.116472451,0.104213822,0.380489398
RAD3,0.115239896,-3.117287837,0.104435149,0.381022763
fliY_2,1.074955363,0.104276755,0.104618908,0.381198105
hisA,1.058068343,0.081432818,0.104633761,0.381198105
mioC,1.04378196,0.061820372,0.104999807,0.381982055
pcoC,1.076156611,0.105888046,0.104925829,0.381982055
gstA,0.038009179,-4.717508338,0.105565749,0.382545497
insF,1.085627472,0.118529134,0.105683481,0.382545497
manL,1.063482299,0.088796021,0.105484931,0.382545497
osmY,1.072562369,0.101061542,0.105446298,0.382545497
rpoE8,1.03566176,0.050552905,0.105640277,0.382545497
ureD,1.025091504,0.035752696,0.105681473,0.382545497
wbsE,1.051105751,0.071907825,0.10527154,0.382545497
amyE,2.573837018,1.363920701,0.106250963,0.382948243
bshB1,1.043182269,0.060991253,0.106126241,0.382948243
flgF,1.044317221,0.06256001,0.105991694,0.382948243
hndI,1.049631864,0.069883422,0.106257656,0.382948243
metF,1.430685143,0.516706207,0.106379998,0.382948243
nfdA_1,1.065909333,0.092084727,0.106086228,0.382948243
nrdI,1.039481449,0.055864012,0.106345924,0.382948243
racR,1.019819834,0.028314301,0.106399719,0.382948243
bglC,1.096018017,0.132271514,0.106531147,0.383148955
ftsW,297.0415466,8.214520922,0.106625732,0.383216967
thlA,1.049510867,0.069717105,0.10681758,0.383493145
yqjG,1.042763943,0.060412603,0.106854034,0.383493145
lhgO,1.068297531,0.095313507,0.107097565,0.384087159
mbtB,1.280731342,0.356967874,0.107171239,0.384087159
XK27_10395,1.075048512,0.104401763,0.107526929,0.384928218
glxK,1.334852167,0.416679974,0.107633957,0.384928218
yhbH,1.026110656,0.03718632,0.107612176,0.384928218
tauC,1.138937026,0.18768798,0.107720602,0.384966217
rgpF,1.047934533,0.067548591,0.10786695,0.385217372
Z012_08340,1.045069123,0.063598369,0.108147629,0.385675769
mraZ,1.397403955,0.482749129,0.108122806,0.385675769
preT,1.090342696,0.124781647,0.108326491,0.386041766
cat1,1.058492675,0.082011286,0.108569492,0.386635658
nqrB,2.040255026,1.028749496,0.108793751,0.386890138
pccA,1.060598089,0.084878054,0.108774064,0.386890138
sacC,1.190653239,0.25175331,0.108926924,0.387091889
rarD,1.044295565,0.062530092,0.109178531,0.387713943
ctsD,1.033024029,0.046873813,0.109342094,0.388022681
CTU1,1.10525335,0.144377108,0.109649345,0.38820077
dcd,1.18056168,0.239473419,0.109496964,0.38820077
rfaC,1.038869111,0.055013898,0.109618393,0.38820077
tetA,1.083726472,0.116000672,0.109698914,0.38820077
grpE,-0.006328444,NA,0.109788524,0.388246568
Z012_08625,1.0515961,0.072580697,0.110133942,0.388924885
efeB,1.030495629,0.043338386,0.11009006,0.388924885
malY,1.099568235,0.136937136,0.110396679,0.389581033
paaG,1.06757485,0.094337223,0.110548962,0.389846759
gstF,1.076498765,0.106346665,0.110790065,0.38996511
ipdC,1.048073567,0.067739986,0.110813545,0.38996511
ygjE,1.060215238,0.084357181,0.110746512,0.38996511
fdnG,1.11377138,0.155453125,0.111106682,0.390454018
nahD,1.075232104,0.10464812,0.11108114,0.390454018
iolE,1.078182222,0.108601027,0.111264086,0.390736013
yqeY,1.025231563,0.0359498,0.111433254,0.391058903
dcuB,1.853296824,0.890093962,0.111710436,0.391760145
ama2,1.037611421,0.053266265,0.111965692,0.392206735
merP,1.083556962,0.115774997,0.111992682,0.392206735
PP5099,1.040287275,0.056981984,0.112132141,0.39223022
mtnB,1.074010726,0.103008401,0.112177048,0.39223022
murP,0.628613661,-0.66975447,0.112231751,0.39223022
mdmC,1.047520816,0.066978914,0.112890708,0.394261066
hydA,1.413441055,0.499211719,0.113154075,0.394724374
hydF,1.03880709,0.054927766,0.113179264,0.394724374
csp,1.112186193,0.153398332,0.113358129,0.395076095
nudJ,1.072292436,0.100698412,0.113503099,0.395124421
rseC,1.050073676,0.070490555,0.113528047,0.395124421
est,1.040102383,0.056725548,0.113761716,0.39556729
traD,1.038990958,0.055183099,0.113811521,0.39556729
PCK1,1.083590741,0.115819971,0.114322867,0.396464755
araE,1.035993192,0.051014522,0.114784774,0.396464755
csaA,1.071468669,0.099589664,0.114692744,0.396464755
emrD,0.750427365,-0.414215657,0.115131592,0.396464755
hddC,1.410252608,0.495953604,0.114537123,0.396464755
mfd,0.337292621,-1.567927336,0.114737096,0.396464755
oapA,1.099122427,0.136352091,0.115102545,0.396464755
pilJ,0.354650326,-1.495530823,0.11468202,0.396464755
rtxA,6.047644524,2.596373341,0.11462696,0.396464755
speA,-0.56595521,NA,0.114699854,0.396464755
trpH,1.165655451,0.221141414,0.115244099,0.396464755
yahE,1.022505466,0.032108556,0.115180121,0.396464755
yhdT,1.017230902,0.024647194,0.114969125,0.396464755
yhfR,1.08078673,0.112081866,0.114964046,0.396464755
zitB,0.350197971,-1.513757369,0.114633313,0.396464755
celH,1.055010426,0.077257256,0.115602849,0.397159312
spoT,0.239626657,-2.061139688,0.115540941,0.397159312
cheD,1.061315816,0.085854023,0.11578556,0.397517339
GPD,1.10828081,0.148323469,0.116656828,0.397610992
XK27_09445,1.149751311,0.201321843,0.115974736,0.397610992
alkT,1.057497518,0.080654277,0.116474091,0.397610992
clsC,1.050615894,0.071235316,0.11652322,0.397610992
katA,0.586393386,-0.770059263,0.116324153,0.397610992
kpsD_1,1.024784652,0.035320775,0.115954689,0.397610992
minD,1.188157753,0.248726397,0.116405664,0.397610992
nhaB,1.076403361,0.106218801,0.116309791,0.397610992
puuD,1.061018808,0.08545023,0.116676527,0.397610992
trePP,1.035885081,0.050863962,0.11667368,0.397610992
ycgE,1.0484627,0.068275537,0.116555016,0.397610992
blaB4,1.076476833,0.106317272,0.116764265,0.397642394
rfaE,1.141235414,0.190596422,0.117219407,0.398924113
ecfT,1.033840052,0.048013,0.1174875,0.399567965
mocB,0.4446521,-1.169251094,0.117604323,0.399696839
EFM7,0.697470274,-0.519796364,0.118085577,0.400949707
atpD,0.729550231,-0.454920781,0.118289665,0.400949707
fdhA,1.050261022,0.070747926,0.118233219,0.400949707
sdaAB,1.014815462,0.021217406,0.118258681,0.400949707
MA20_15945,1.062811051,0.087885134,0.118424481,0.401138175
dnaE,0.604400095,-0.726424207,0.118634988,0.401312363
rnfA,1.05986488,0.083880351,0.118713649,0.401312363
tehA,1.045832634,0.064651994,0.118679694,0.401312363
artJ_3,1.068208136,0.095192778,0.118967407,0.401901901
oprF,1.07385713,0.102802065,0.119120783,0.402151765
rffG,1.088777658,0.122709368,0.11924916,0.402316954
yozC,1.068105819,0.095054584,0.119667145,0.403458337
livF2,1.070708196,0.09856535,0.11977153,0.403541604
prsA,1.497197203,0.582264258,0.120119513,0.404444957
MA20_26860,1.058791552,0.082418589,0.120493227,0.405433689
porA,1.442148929,0.528220158,0.120935971,0.406653225
folB,1.070870399,0.098783889,0.121096951,0.406766829
yqhG,1.055567359,0.078018645,0.121130406,0.406766829
paaJ,1.092959931,0.128240512,0.121223209,0.4068087
prfB,0.673980831,-0.569220535,0.121376003,0.407051707
murD,0.5796812,-0.786668397,0.121516408,0.407252873
cld,1.03369729,0.047813765,0.121623328,0.407341622
MA20_20925,1.042244952,0.059694384,0.121798334,0.407658137
bapA,1.086227456,0.119326236,0.121907475,0.407753933
sapF,1.060536785,0.084794662,0.122144746,0.408277883
Z012_04225,1.048619555,0.068491355,0.122475532,0.408307663
Z012_10710,1.022125699,0.031572626,0.122718061,0.408307663
nspC,0.111878456,-3.159995844,0.122641691,0.408307663
rctB,0.72831544,-0.457364665,0.122620391,0.408307663
rimL,1.01967061,0.028103186,0.122420776,0.408307663
tcyB_2,1.263204522,0.33708824,0.122606066,0.408307663
vorB,1.083529989,0.115739083,0.122400596,0.408307663
MMT2,1.070597033,0.09841556,0.122833933,0.408424845
gst,1.051849857,0.072928786,0.123149279,0.409204689
ppk2,0.116502096,-3.101572183,0.123487077,0.410058069
ccpA,-8.092119834,NA,0.123683409,0.41017209
rluF,1.063201352,0.088414844,0.123630588,0.41017209
artM,1.054965673,0.077196057,0.123831544,0.410265205
queF,1.056663694,0.079516281,0.123873519,0.410265205
yadF,1.019546717,0.027927883,0.124027386,0.41050633
citF,3.891947649,1.960492304,0.12420858,0.410825787
hipO2,1.02437642,0.034745949,0.124367285,0.410825787
rsbV,1.087052015,0.120420975,0.124288557,0.410825787
CDC48,1.057595615,0.0807881,0.124883756,0.411722679
hlyIII,1.081945261,0.11362751,0.12480786,0.411722679
hmuS,1.065882452,0.092048343,0.125102797,0.411722679
hsdR,-0.589616527,NA,0.124936991,0.411722679
tri1,1.035521551,0.050357578,0.12512662,0.411722679
ygeW,1.073247561,0.101982894,0.125077363,0.411722679
oorB,1.053755307,0.075539897,0.125330649,0.412126239
ydcT,1.041325973,0.058421756,0.125419513,0.412150821
hpaIIM,1.07170742,0.099911099,0.125788203,0.412826612
yjbH,1.183166539,0.242653157,0.125709092,0.412826612
cbiO1,1.095230225,0.131234166,0.126083201,0.413526768
cylB,1.046749082,0.065915653,0.126214825,0.413690534
gshF,1.314729967,0.394766514,0.126413176,0.414072655
galT,1.192736207,0.254275003,0.126504013,0.414102343
rhlE4,1.067634236,0.094417474,0.126621255,0.41421837
yaeF,1.065682682,0.091777924,0.126733733,0.414318672
PPA0888,4.173687447,2.061322566,0.127025963,0.414417901
VPS33,-0.015573063,NA,0.127060939,0.414417901
copY,1.032661963,0.046368072,0.12709143,0.414417901
rsmF,0.050708514,-4.301628195,0.126999954,0.414417901
tlyC_1,1.046537534,0.065624054,0.127193268,0.414483083
dusA,0.0342791,-4.866526939,0.127316125,0.414616628
fadL,1.067274935,0.093931869,0.127543751,0.414824377
flhD,1.08879391,0.122730902,0.127507941,0.414824377
yabE,1.060064011,0.084151384,0.127722447,0.415138941
dalD,1.024515133,0.034941294,0.12789101,0.415355224
drrA,1.074326619,0.103432672,0.128035052,0.415355224
ntrC,1.077806328,0.108097962,0.127991389,0.415355224
plsY1,1.026087498,0.03715376,0.128297977,0.415941712
bcrC,1.035915908,0.050906895,0.128864607,0.417244482
tauB,1.04511909,0.063667345,0.128830021,0.417244482
bztC,1.070952785,0.098894878,0.129117299,0.41779553
prfC,0.586286357,-0.77032261,0.129775062,0.41963828
ulaE,1.056525304,0.07932732,0.129852525,0.41963828
atpA_2,1.062691124,0.087722331,0.130180058,0.420428451
recA,0.627750221,-0.671737464,0.130613521,0.42155951
alsT,0.007661804,-7.028100231,0.130781372,0.421563888
yfaE,1.0942772,0.129978245,0.130718154,0.421563888
acrF,1.194742006,0.256699115,0.131158254,0.422509797
iscU,1.183758583,0.243374887,0.131399794,0.422750035
otsA,1.2161986,0.282378834,0.1313332,0.422750035
yghO,1.029893433,0.042495064,0.13153407,0.422913354
afsQ1,1.063125141,0.088311427,0.131833644,0.4230142
norZ,1.033261679,0.047205671,0.13189957,0.4230142
shlB,1.063199931,0.088412916,0.131735513,0.4230142
yehR,1.070982261,0.098934585,0.131848152,0.4230142
csy1,-4.116462786,NA,0.132621684,0.424255342
fni,0.248357324,-2.009510801,0.13253168,0.424255342
malX,1.05138238,0.072287462,0.132380669,0.424255342
yhhM,1.021748663,0.031040355,0.132554399,0.424255342
moaA2,1.079359826,0.110175896,0.132874174,0.424794707
asnS,0.102339436,-3.288565909,0.133226702,0.425653008
MA20_16110,1.058954991,0.082641272,0.133763683,0.426561267
ccmG,1.088371538,0.122171134,0.133615371,0.426561267
ybjJ,1.032320907,0.045891516,0.133682507,0.426561267
bglJ,1.118818354,0.161975826,0.133967614,0.42694273
yvdD,1.055185415,0.077496528,0.134167968,0.427312322
MAL1,1.054578692,0.076666752,0.135128231,0.430100163
rumA_2,1.034842072,0.049410614,0.135676739,0.431574754
yhaN,1.165812389,0.221335639,0.135935676,0.432126969
Z012_02880,1.046063098,0.064969877,0.136278065,0.432912867
cusF,1.074059791,0.103074308,0.136353875,0.432912867
senX3,1.07056782,0.098376193,0.136508181,0.433131222
mptA,1.05941585,0.083268998,0.136660768,0.433343852
rpl8,1.043952984,0.06205674,0.136818444,0.43357234
bioY,1.051832648,0.072905182,0.136974059,0.433794017
troD,1.04060259,0.057419204,0.137228398,0.434327878
mdtL,1.035743369,0.050666584,0.137422378,0.434670157
gabD,1.210915277,0.276097929,0.137948358,0.434723459
mmuP,1.103083755,0.141542336,0.137567496,0.434723459
mreD,0.362565784,-1.463685312,0.13787312,0.434723459
nlaIVR,1.038325827,0.054259232,0.137643509,0.434723459
sapC,1.165266069,0.220659408,0.137954305,0.434723459
ydiK,1.078075027,0.108457583,0.137798518,0.434723459
dgkA,1.056219831,0.078910134,0.138559496,0.436103711
marR3,1.041569224,0.058758725,0.138564548,0.436103711
gldB,1.169725949,0.226170565,0.138743814,0.436396693
dinI,1.048879519,0.06884897,0.13901014,0.436864184
sipV,1.687850584,0.755187196,0.139064981,0.436864184
yegH,-0.115430137,NA,0.139215195,0.437064938
pafB,1.053990048,0.075861245,0.139306307,0.437080011
rfbB2,1.048725042,0.068636477,0.139901755,0.438133881
xpt,1.060188462,0.084320745,0.139837777,0.438133881
ygjJ,1.075149667,0.104537506,0.139776855,0.438133881
nagB,0.204984384,-2.286414084,0.140038793,0.438291993
hpaD,1.069842279,0.097398124,0.140196488,0.438514524
galE1,1.126606285,0.171983426,0.140377252,0.43880889
eryC,1.044736049,0.063138493,0.140656021,0.439409062
dak3,1.101414133,0.139357025,0.140833348,0.439691783
folA,1.283324728,0.359886272,0.140961736,0.43982146
uxaC,1.141486672,0.190914014,0.141827711,0.442250942
paaH,1.340879359,0.423179442,0.142133897,0.442842538
ugpC,-0.1684329,NA,0.142192332,0.442842538
metAA,1.079609998,0.110510243,0.14258368,0.443788416
ank2,1.062889607,0.087991764,0.143227394,0.445392361
dltD,1.126519861,0.171872749,0.143626723,0.445392361
hgdB,1.02906985,0.041340911,0.143340781,0.445392361
pgi,0.672296916,-0.572829564,0.143469957,0.445392361
proP_2,1.080361432,0.111514044,0.143597562,0.445392361
trn2,1.061589267,0.08622569,0.143405265,0.445392361
thiC,-0.44088339,NA,0.144151855,0.446747242
pobR,1.094669421,0.130495257,0.144954578,0.448960234
purN,0.044493646,-4.490256856,0.145417144,0.450117613
mycA,1.02098694,0.029964412,0.145610537,0.45016591
wbbL,1.051317731,0.072198749,0.14555049,0.45016591
nrfB,1.04387667,0.061951272,0.14612574,0.451207773
ycgM,1.051188087,0.072020831,0.1460793,0.451207773
melR,1.039566692,0.055982316,0.146222389,0.451231065
mmuM,1.157939806,0.211560259,0.1464316,0.451326612
pchR,1.069207127,0.09654136,0.146385227,0.451326612
eutA,1.110780289,0.151573481,0.146562594,0.45145558
amn,1.469828208,0.555647544,0.146727378,0.451688415
urtE,1.095325968,0.131360278,0.147686728,0.454089611
ygaC,1.254690057,0.327331023,0.147664758,0.454089611
ENA2,1.040440687,0.057194723,0.16215307,0.454228589
FKS1,1.045686751,0.064450738,0.160971402,0.454228589
GDH2,1.079606402,0.110505437,0.159783557,0.454228589
GFA1,1.071975959,0.100272551,0.158223492,0.454228589
JD73_21370,1.05061873,0.07123921,0.163564588,0.454228589
MA20_42035,1.035150036,0.049839888,0.158600387,0.454228589
MGS1,1.059576368,0.083487573,0.160082974,0.454228589
RPL19B,1.022723132,0.032415637,0.158767173,0.454228589
Rnd,1.008479151,0.012181259,0.158249624,0.454228589
SOG2,0.452868255,-1.14283668,0.152368387,0.454228589
STT3,1.018589261,0.026572412,0.16410216,0.454228589
XK26_02160,1.08025349,0.111369892,0.161957544,0.454228589
XK27_06785,1.012651857,0.018138271,0.158312392,0.454228589
XK27_08510,1.007944891,0.011416763,0.16344195,0.454228589
XK27_10490,1.011271547,0.016170443,0.163994674,0.454228589
Z012_00570,1.028579414,0.040653185,0.158029254,0.454228589
Z012_01850,1.334377683,0.416167065,0.155405221,0.454228589
Z012_03370,1.027966854,0.039793747,0.161476116,0.454228589
Z012_04725,1.016121891,0.023073473,0.157785157,0.454228589
Z012_05470,1.012568268,0.018019179,0.163138327,0.454228589
Z012_06960,1.033133264,0.047026359,0.163893147,0.454228589
Z012_07430,1.073368177,0.102145021,0.162124717,0.454228589
Z012_07485,1.049041902,0.069072305,0.15960705,0.454228589
Z012_07725,1.028032872,0.039886397,0.157824488,0.454228589
Z012_08535,1.027084919,0.038555468,0.159505264,0.454228589
abcT3,1.015130041,0.021664553,0.159843918,0.454228589
accA1,1.050086356,0.070507975,0.160587103,0.454228589
acdH,1.086582871,0.11979821,0.162296281,0.454228589
acmB,1.053194797,0.0747723,0.151161246,0.454228589
acnB,0.672816164,-0.571715728,0.154621449,0.454228589
actP_1,1.057286967,0.080367003,0.160089673,0.454228589
algZ,1.040024399,0.056617374,0.15813392,0.454228589
alsA,1.078665636,0.109247729,0.161674057,0.454228589
apgM,1.060372749,0.0845715,0.1583309,0.454228589
araC,1.021902633,0.031257743,0.162282285,0.454228589
arpA_2,1.037366519,0.052925713,0.158649689,0.454228589
barA,0.342328228,-1.546547837,0.156366321,0.454228589
bchP,1.011298607,0.016209045,0.159903747,0.454228589
bclA_2,1.074874106,0.104167695,0.159446034,0.454228589
benB,1.029694919,0.042216954,0.158010561,0.454228589
bolA,1.896808209,0.923573812,0.154977242,0.454228589
bshA,1.019543588,0.027923455,0.159369641,0.454228589
ccpN,1.048120026,0.067803937,0.162691202,0.454228589
chaC,1.0213867,0.030529178,0.158596172,0.454228589
cmeC,1.020986879,0.029964326,0.157843008,0.454228589
cmpC,1.026814318,0.038175318,0.16061378,0.454228589
cof,1.043210392,0.061030146,0.162452369,0.454228589
cpaB,1.054812286,0.07698628,0.158625296,0.454228589
csgG,1.029973214,0.042606818,0.164163361,0.454228589
cutS,1.015826434,0.022653922,0.160862554,0.454228589
dgcA,1.048811063,0.068754809,0.158080736,0.454228589
dusC,1.033032821,0.046886091,0.158628869,0.454228589
epsR,1.044229999,0.062439511,0.159389452,0.454228589
eptB,1.025138242,0.035818473,0.15991461,0.454228589
exbB,0.028248188,-5.145697857,0.157948763,0.454228589
fabH,0.654436377,-0.611675153,0.155144203,0.454228589
fadD3,1.057216466,0.0802708,0.157761629,0.454228589
fcuA,1.074482716,0.103642276,0.162095906,0.454228589
fdhE,1.012701457,0.018208932,0.161575516,0.454228589
feaR,1.054886989,0.07708845,0.15799396,0.454228589
feuC,1.066706211,0.093162888,0.157897589,0.454228589
fimB,1.021520693,0.030718429,0.160686727,0.454228589
fimC_4,1.083397144,0.115562192,0.161378273,0.454228589
fnr-1,1.061144331,0.085620897,0.157801209,0.454228589
ftrB,1.021757805,0.031053264,0.160388772,0.454228589
ftsH_1,1.017868223,0.025550797,0.158983709,0.454228589
fucA2,1.056975064,0.079941341,0.163294434,0.454228589
fucR,1.01535755,0.02198785,0.157759688,0.454228589
gaa,1.040180754,0.05683425,0.157767958,0.454228589
gadW,1.014134686,0.020249268,0.160290839,0.454228589
gapC,1.061795235,0.086505572,0.157790864,0.454228589
ghrB_1,1.01549394,0.02218163,0.158919555,0.454228589
glcE,1.036888656,0.052260981,0.158027463,0.454228589
gntP,0.363313253,-1.4607141,0.16415608,0.454228589
gntU,1.028921144,0.041132419,0.157776652,0.454228589
grxC,1.074044669,0.103053996,0.160660034,0.454228589
gspE1,1.075907187,0.105553629,0.15889725,0.454228589
gudD,1.014922976,0.021370243,0.157907863,0.454228589
gyaR,-0.13479483,NA,0.157460599,0.454228589
hemK1,1.055497434,0.077923071,0.163772718,0.454228589
hmuO,1.016723792,0.023927803,0.158486967,0.454228589
htpG,0.464708564,-1.105601862,0.149816127,0.454228589
hypF,1.393732943,0.478954149,0.16041493,0.454228589
ilvB4,1.034284843,0.04863356,0.162474409,0.454228589
ilvY,-0.03653745,NA,0.149174996,0.454228589
impB,1.030983627,0.044021422,0.158763041,0.454228589
lapB,1.250195342,0.322153532,0.150120283,0.454228589
lktA,1.023124718,0.032982019,0.158600392,0.454228589
