name,FC,log2FC,pval,p_adjust
eutB,1.479588166,0.565195667,0.000177112,0.008153583
recX,-31.85669072,NA,0.000181539,0.008282087
cynT,1.427148328,0.513135286,0.000190549,0.008615522
pyrR,1.434762619,0.520812063,0.000206556,0.009256614
proA,1.635615411,0.709833561,0.000212594,0.009443653
mdlA,1.555419529,0.637303757,0.000223244,0.009830481
potF2,1.69304425,0.759619681,0.000230455,0.01006055
secF,1.555662168,0.637528794,0.000232745,0.010073693
cyoB,1.585124805,0.664596436,0.000241596,0.01028273
hutW,1.366934469,0.450944082,0.000241636,0.01028273
scfB,8.237052151,3.042128123,0.000250469,0.01056979
mltF,2.007281719,1.005243111,0.000256309,0.010726866
XK27_12060,1.371760409,0.456028523,0.000261764,0.01086537
bcp,1.564934428,0.646102208,0.000284774,0.011724344
Z012_10915,-0.656191433,NA,0.000314664,0.012747661
hypA2,1.191729125,0.253056355,0.000314624,0.012747661
glnB,1.675049189,0.744203462,0.000339974,0.013663698
rng,1.2563152,0.329198471,0.000355606,0.014179447
bcsB,1.705644349,0.770316855,0.000375575,0.014617483
pilN,1.350169608,0.433140649,0.000378138,0.014617483
porU,2.466887956,1.302692191,0.000377507,0.014617483
tesA,1.492137458,0.577380445,0.000376782,0.014617483
atpH,1.862879524,0.897534375,0.0004338,0.015658846
fabF,-0.034667649,NA,0.000421336,0.015658846
fklB,1.360986903,0.444653183,0.000433541,0.015658846
gldJ,1.412998653,0.498760091,0.000419878,0.015658846
greA_2,1.287254444,0.36429725,0.000436249,0.015658846
infC,-2.207008551,NA,0.000423288,0.015658846
ispZ,-0.416627584,NA,0.000421941,0.015658846
mccB,1.309390529,0.388895449,0.000438826,0.015658846
nac,1.624160286,0.699694017,0.000439091,0.015658846
pyrB,-3.169281797,NA,0.000420546,0.015658846
rnpA,1.465326139,0.551221802,0.000434735,0.015658846
cytR,1.641079299,0.714644954,0.000449594,0.015795022
folD,-10.93502341,NA,0.000452267,0.015795022
katE,1.59386388,0.672528424,0.00044899,0.015795022
cysW,1.309360427,0.388862282,0.000458736,0.015911236
phnD,1.236693016,0.306487425,0.000463453,0.015965497
sitB,1.219717961,0.286547587,0.000471291,0.016125791
sdaAA,1.344662262,0.427243857,0.000479099,0.016282934
crt,1.354998482,0.438291236,0.000482779,0.016298611
bhbA,2.505455915,1.325073153,0.000496485,0.016633828
lolA,1.37548701,0.459942515,0.000501488,0.016633828
obg,-8.641249144,NA,0.000502562,0.016633828
nagC,1.392437118,0.477612177,0.000514118,0.016905816
thrB,3.051022015,1.60929259,0.000518827,0.016950565
fadR,1.30931488,0.388812095,0.000534734,0.017358293
batD,1.281733998,0.358096886,0.000539464,0.01740029
elaB,1.537893571,0.620955666,0.000553038,0.017725211
lolC,1.433432865,0.519474337,0.000562147,0.017903851
accB,1.496348909,0.581446613,0.000585381,0.018406909
lpoA,1.514320902,0.598670961,0.000588847,0.018406909
rpsF,5.396606586,2.432052518,0.000587967,0.018406909
ccoO,1.280318495,0.356502743,0.000599205,0.018615805
yqhC,1.468015123,0.553866831,0.000611852,0.018892804
btuE,-426.1631331,NA,0.000616168,0.018910765
trxB,-0.07702777,NA,0.000620712,0.018935459
rpoN,-0.047922778,NA,0.000661711,0.019958107
tkt,21.21711047,4.407156286,0.000662117,0.019958107
deoB,1.649347365,0.721895273,0.00070255,0.020944426
gabR_4,1.429034255,0.515040499,0.000703111,0.020944426
arcB,1.464506682,0.550414776,0.000712421,0.021096327
fruB,1.797520266,0.846008037,0.000716542,0.021096327
cobI,1.339735305,0.421947991,0.00074668,0.021730961
yggS,3.539271557,1.823452459,0.000743759,0.021730961
hpaB,1.550228046,0.632480458,0.000752999,0.021789629
nagA,1.709600897,0.77365957,0.00080008,0.023020476
aprN,1.332938666,0.414610397,0.000811709,0.023223132
yedA,1.272351359,0.347497125,0.000821664,0.02337588
basR_3,1.416899124,0.502737049,0.000838161,0.023639302
pilY1,2.440885977,1.287404903,0.00084026,0.023639302
katG,-5.594216402,NA,0.000862178,0.023728643
panD,1.367141542,0.451162615,0.00085407,0.023728643
pstA,2.231823563,1.158222979,0.000861865,0.023728643
yyaM,1.374153755,0.458543437,0.000849758,0.023728643
ansA,1.28352658,0.360113173,0.000879946,0.023957233
hag,1.303560958,0.382458049,0.000876595,0.023957233
cbiK,1.174593093,0.232161059,0.000886611,0.024009611
waaL,1.405965524,0.491561218,0.000892166,0.024031545
kdsD,1.427138078,0.513124924,0.000901838,0.024163523
kgtP,1.378483843,0.463082357,0.00090753,0.024188072
Z012_03545,1.28756043,0.364640145,0.000915403,0.024270169
rhlE1,1.48520816,0.570665147,0.000951266,0.024703641
rluE,2.100896891,1.071005358,0.000943725,0.024703641
spr,1.308560556,0.387980689,0.000941899,0.024703641
trbE,1.340412646,0.422677202,0.000951167,0.024703641
CTSD,6.432077014,2.685284681,0.000966552,0.024943453
adh,1.505839798,0.590568294,0.000970352,0.024943453
Z012_10790,1.842794671,0.881895331,0.001016483,0.025866671
aceE1,1.411405624,0.497132664,0.001015148,0.025866671
cadA,-3.082600005,NA,0.001024615,0.025943259
rsmI,1.783259311,0.834516506,0.001050197,0.026458682
chlD,1.317598627,0.397910957,0.001064742,0.026692339
yafV,1.175168182,0.232867241,0.001074809,0.026811977
flgK,1.26555645,0.33977186,0.001106707,0.027338489
yitL,1.960999652,0.971589279,0.001106712,0.027338489
garD,1.352525345,0.435655629,0.001113133,0.027363618
trmB,-0.223668262,NA,0.001134969,0.02776561
prtQ,1.477221584,0.562886248,0.001147732,0.027809151
scrY,1.351932936,0.435023587,0.0011443,0.027809151
gspE,1.423556813,0.509500071,0.001166399,0.028019365
metXA,1.83438089,0.87529323,0.001167474,0.028019365
gldE,1.489284182,0.574619072,0.001192838,0.028493062
cfa,2.244568001,1.166437805,0.001229494,0.028958873
fabV,1.150580936,0.202362472,0.001225822,0.028958873
yqiK,1.494727868,0.57988285,0.001221031,0.028958873
Z012_03250,1.412208515,0.497953121,0.00125848,0.029504366
cap,1.180704955,0.239648496,0.001272725,0.029700827
nrdR,1.258683977,0.331916105,0.001300614,0.030212418
nfrB,1.406528677,0.492138968,0.001358851,0.031421102
cysC,1.419666583,0.505552144,0.001391984,0.031956775
pckG,1.466054795,0.551939026,0.001394638,0.031956775
tdcB,1.317893397,0.398233677,0.001408364,0.03212592
nadR,-1.359035346,NA,0.001423091,0.032316297
greB,1.257641355,0.330720564,0.001441226,0.032581998
clpC,-0.067773909,NA,0.001477453,0.032815011
fadD,-1.511258667,NA,0.001471656,0.032815011
mnaA,1.122497954,0.166712815,0.001473369,0.032815011
poxB,1.345586331,0.428234955,0.001476163,0.032815011
sdcS_2,1.380151377,0.464826512,0.001487916,0.032903083
rlmD,1.204144513,0.268008545,0.001495671,0.032930777
dcp,-1.436523659,NA,0.001510485,0.033112971
pilC,0.005546293,-7.494260429,0.001576649,0.034414447
ragA,1.230482944,0.29922466,0.001603311,0.034846213
mrdB,1.304126167,0.383083449,0.001638058,0.035093699
pcaB,1.386747622,0.471705252,0.001639816,0.035093699
prtC,3.345144394,1.742068487,0.001621894,0.035093699
sprE,2.931658603,1.551717109,0.001642418,0.035093699
M1-841,1.15816955,0.211846472,0.001673222,0.035359639
prkA,1.339143606,0.421310679,0.001668742,0.035359639
tse1,1.459675512,0.545647692,0.001675812,0.035359639
bioD,1.369076712,0.453203286,0.001705774,0.035842482
gltT,1.572264488,0.65284393,0.001737786,0.036364243
tqsA,1.171487429,0.228341472,0.001756498,0.036604549
dapC,2.788317785,1.479394995,0.001784007,0.036874325
yaaT,2.401379117,1.263863186,0.001778516,0.036874325
hrpB,1.659902691,0.731098668,0.001794076,0.036931701
ccmC,1.357809859,0.441281466,0.001809635,0.037101171
hpuB,1.302238171,0.380993333,0.001822613,0.037216589
fumB,1.241130984,0.31165538,0.00189183,0.038474811
bioF,1.163328537,0.218258587,0.001941165,0.039020595
ddpA,1.408757232,0.494423016,0.001931954,0.039020595
ywtF_2,1.305216652,0.384289299,0.001941783,0.039020595
B4168_4126,10.35937124,3.372864536,0.001959669,0.03922436
ycdF,-8.589770278,NA,0.001981142,0.039498045
rpoD2,1.24492844,0.316062816,0.001996567,0.039649462
dnaI,1.199892663,0.262905354,0.002034469,0.040081993
rpe,4.208770986,2.07339901,0.002034984,0.040081993
ylfI,1.148631805,0.199916415,0.002042092,0.040081993
agcS,1.242612859,0.313376889,0.002056487,0.040208686
naiP,1.235803134,0.305448937,0.002103948,0.040978429
ntpA,1.144619801,0.19486847,0.002121889,0.041169516
cat,1.275701311,0.35129058,0.002166814,0.04188071
batB,1.201905741,0.265323757,0.00221492,0.042647739
cutC,1.182667988,0.24204512,0.002241413,0.042994376
wbcM,1.2078791,0.272476059,0.002251404,0.043023064
cmoA,1.293333585,0.371094432,0.002271094,0.043023675
ctc,1.380925337,0.465635319,0.002281845,0.043023675
pepD_1,1.169701576,0.226140505,0.002277121,0.043023675
pqiB,1.24683882,0.318274979,0.00228542,0.043023675
susB,1.513370879,0.59776559,0.002299083,0.043120583
purC,-0.328039221,NA,0.002315721,0.043272367
eat,1.362879909,0.446658444,0.002361578,0.043805977
gltS,1.43889437,0.524960687,0.00235932,0.043805977
traA,1.582407826,0.662121467,0.002413468,0.044605114
mltB,1.232599797,0.301704459,0.002536192,0.046533616
trpG,1.339557174,0.421756159,0.002528133,0.046533616
lolD,1.184385746,0.244139033,0.002553284,0.04667808
purT,1.324607023,0.405564412,0.002578231,0.046964604
Z012_09350,1.179486755,0.238159218,0.002659206,0.048093635
glf,1.19996421,0.262991377,0.002657273,0.048093635
yciI,1.282999515,0.359520625,0.002674897,0.048205268
cooS,2.364597853,1.241594845,0.002759864,0.049560111
aceA,1.338777558,0.420916272,0.002808444,0.050090069
mga,1.201409442,0.264727907,0.002809159,0.050090069
XK27_07145,1.174294382,0.231794121,0.002882845,0.051223596
iaaH,1.17508541,0.232765622,0.002919914,0.051700863
potH,1.290465188,0.367891223,0.002932884,0.051749561
qcrB,1.292313845,0.369956478,0.003069964,0.053980203
manZ_1,1.366195539,0.450163987,0.003121618,0.05450991
mtr,1.376055677,0.460538844,0.003116275,0.05450991
udk,1.165256751,0.220647871,0.003205177,0.055776682
ytfL_1,1.541890242,0.624700072,0.003228697,0.055993559
ybtX,1.285511539,0.36234256,0.003246399,0.056108404
fliL,1.199763761,0.26275036,0.003263828,0.056217779
ybdK,1.174778313,0.232388539,0.003313187,0.056874511
capD,1.245250789,0.316436325,0.003360507,0.057251108
ggt,1.336030879,0.417953352,0.003369042,0.057251108
yedF,1.147394517,0.198361529,0.003364287,0.057251108
cobH,1.413771618,0.499549084,0.00346146,0.058235332
fimV,1.534222716,0.617507927,0.003454929,0.058235332
rplD,1.163921707,0.218994016,0.003444562,0.058235332
narH,2.209529789,1.143739382,0.003526045,0.059125468
coxL,1.188992156,0.249739197,0.00355946,0.059488791
ytfR,1.250261731,0.322230142,0.003575891,0.05956682
yteU,1.212700911,0.278223782,0.003598992,0.059755069
glmM,-1.425950211,NA,0.003677273,0.060855265
